name,url
Taylor Pharmaceuticals,
Stiefel Labs,www.stiefel.com
QLT Inc.,www.qltinc.com
Bioniche Pharma,www.bionichepharmausa.com
Penn Pharmaceutical Services Ltd.,www.pennpharm.com
ViiV Healthcare ULC,
Romark Pharmaceuticals,www.romark.com
Viropharma Inc.,www.viropharma.com
Schwarz Pharma Inc.,
Schering Corp.,www.schering.de
Mallinckrodt Inc.,www.mallinckrodt.com
GTx Inc.,www.gtxinc.com
Zeneca Pharma Inc.,
Mission Pharmacal,www.missionpharmacal.com
SuperGen Inc.,www.supergen.com
Lantheus Medical Imaging Inc.,www.radiopharm.com
Modern Veterinary Therapeutics LLC,www.modernveterinarytherapeutics.com
Wa Butler Co.,
St Mary's Medical Park Pharmacy,
Vitaline Corp.,
Versapharm Inc.,www.versapharm.com
Nycomed Inc.,www.nycomed.com
Orion Corporation,www.orionpharma.com
Novopharm Ltd.,
Iso Tex Diagnostics Inc.,www.isotexdiagnostics.com
USAN,
Intervet International,www.intervet.ca
Long Wing International Inc.,www.longwing.net
Tya Pharmaceuticals,
Primedics Laboratories,
Siegfried Ltd.,www.siegfried.ch
Zogenix Inc.,www.zogenix.com
J T Baker,www.jtbaker.com
Bristol-Myers Squibb Co.,www.bms.com
Novocol Pharmaceutical Canada,www.novocol.com
Wilson Ophthalmic Corp.,www.hilco.com
WC Pharmaceuticals,
Catalent Pharma Solutions,www.catalent.com
Baxter International Inc.,www.baxter.com
Draxis Specialty Pharmaceuticals Inc.,www.draxispharma.com
Torrance Co.,www.torranceco.com
Graceway Pharmaceuticals,www.gracewaypharma.com
Mississippi State Dept Health,www.msdh.state.ms.us
Meridian Medical Technologies Inc.,www.meridianmeds.com
Allergan Inc.,www.allergan.com
Lundbeck Inc.,www.lundbeckinc.com
Vivus,www.vivus.com
Warner Lambert Company LLC,
Norega Laboratories Inc.,
Zoetica Pharmaceutical Corp.,
Nutricia,www.nutricia.com
Vericore Ltd.,
Alcon Laboratories,www.alcon.com
Zambon Ltd.,www.zambon-ch.ch
Danco Labs LLC,
Quality Care,
R.P. Scherer GmbH and Co. KG,www.rpscherer.de
Mylan,www.mylan.com
University Of Iowa Pharmaceuticals,www.pharmacy.uiowa.edu
Dusa Pharmaceuticals,www.dusapharma.com
Tedor Pharma Inc.,www.tedor.com
Zila Therapeutics Inc.,www.zila.com
Synthetics China,www.synchina.com
Prime European Therapeuticals SPA,
Akorn Inc.,www.akorn.com
Weleda Inc.,www.weleda.com
Pharmedix,www.pharmedixrx.com
Presutti Laboratories Inc.,www.presuttilabs.com
Recipharm AB,www.recipharm.com
Pharmion LLC,
Dispensing Solutions,www.drxdispensing.com
Scherer Drug Delivery Systems Ltd.,
ISTA Pharmaceuticals,www.istavision.com
Wallace Pharmaceuticals Inc.,www.wallacepharma.net
Unimed Pharmaceuticals Inc.,
