resource
Drugs Product Database (DPD)
PubChem Substance
KEGG Drug
PharmGKB
UniProtKB
Therapeutic Targets Database
Wikipedia
ChEMBL
GenBank
KEGG Compound
ChEBI
PubChem Compound
ChemSpider
BindingDB
IUPHAR
Guide to Pharmacology
PDB
