atc-code,drugbank-id
G03CA57,APRD00396
S01EE04,APRD01271
D07AC11,APRD00788
N06BA09,APRD00614
L01DC01,EXPT00718
L01AA02,APRD00115
N01AX07,APRD00965
L01BA03,EXPT01092
G03AC08,APRD00766
N02AG01,DB05354
N01BB09,APRD00492
N01BB51,APRD00247
S01EX02,APRD00902
J05AB13,DB01730
J05AR11,DB13426
J01CF05,APRD00609
B02AA02,EXPT00508
J01DH03,APRD00952
G03FB10,APRD00762
L01DC03,APRD00284
N05CA07,APRD01333
L01XX25,APRD00114
C01BD05,APRD01025
L01CA03,APRD00392
G01AE10,APRD00127
,DB07727
N05CB01,APRD01174
N03AG01,APRD00066
J04AB30,APRD00844
N02CC03,APRD00376
N02BE71,APRD00252
L01XE02,DB07998
R05DA04,DB09471
J01CR05,APRD00325
N02CA51,DB05743
N06AA09,APRD00227
,APRD00692
N04BX01,APRD00445
S01CA07,APRD00980
C02DD01,APRD01143
A12AA10,APRD00841
N02AA03,APRD01021
C01EB03,APRD00109
J04AM03,APRD00957
A10BD11,APRD01099
R01AX03,APRD00537
N02AC52,APRD00485
N05AH03,APRD00138
C07AB03,APRD00172
P01CC02,APRD00050
D11AH02,APRD01182
A02BD05,APRD00446
J04AK01,APRD01206
N04AA03,APRD01101
R06AE07,APRD00630
R06AX12,APRD00606
C08DB01,APRD00473
N06AA11,APRD00441
V04CH30,APRD00792
G04CA01,APRD00490
N03AC02,APRD00315
A16AX04,APRD01141
N05BA09,APRD00307
C02DC01,DB08225
G03AB01,APRD01092
L01BB03,APRD00290
G02AB01,APRD00739
R06AE01,APRD00723
J01DF01,EXPT00605
M03BB53,APRD00308
L02BG01,APRD00592
P01BC02,APRD00300
J01EC02,APRD00190
A16AX07,DB02692
L01CA04,APRD00101
J02AX06,APRD01301
N05AH02,APRD00470
A02BX02,APRD01238
J01MA11,APRD01003
R06AA09,APRD00937
G03AD01,APRD00106
C01CA03,APRD01299
J05AB12,APRD00148
N06AX11,APRD00685
N05BC01,APRD01095
R06AD03,APRD00323
C07BA06,DB08625
B01AC21,APRD01272
C10AC02,APRD00884
N04AA01,APRD00070
A04AA05,APRD00351
G03FB08,APRD00941
C01BB02,APRD00242
V03AF02,DB02444
C09BB04,APRD00520
N06DA01,APRD00690
A03AA01,APRD00399
C03DB02,APRD00079
L01DB09,APRD00662
N04AA04,APRD00383
R01AB01,APRD00365
H03BB01,APRD00503
C01AA05,APRD00098
N05AL07,APRD00032
N04AA05,APRD00729
C08CA06,APRD00612
D07AC15,DB11897
M03BA72,APRD00417
G03FA04,APRD00700
R01BA01,DB09441
L01XE05,DB07438
M05BA08,DB06286
D01BA01,APRD01004
C08CA07,APRD00635
N05CF04,APRD00431
V04CC04,APRD00861
N05BA12,DB05925
R06AB06,APRD00770
G01AX09,APRD00998
,APRD00803
N05AH01,APRD00574
N05AL04,APRD00316
D06AX09,APRD00162
S01EB02,DB02487
A10BD04,APRD00403
N04BC05,APRD00156
A10BB31,APRD00773
J01CR01,APRD00320
,APRD01318
J01CE10,DB08415
N05CB01,APRD00497
A16AX06,APRD01118
N05AA03,APRD00358
C03DA01,APRD01234
N06BA04,APRD00657
M03BA73,APRD01102
A03BA03,APRD00607
N05CF02,APRD00095
J05AB09,APRD00600
R06AX07,APRD00306
L01AD04,APRD00209
G02AD04,APRD00847
J01DD11,APRD00856
P03AB02,APRD01072
L01BC59,APRD01275
N05AB04,APRD00624
R06AX02,APRD00033
R07AX01,APRD01142
G01AE10,APRD00666
M04AA51,DB03027
J01DD02,APRD00857
C10AA06,APRD00102
J01EE03,APRD00103
L01BC05,APRD00201
R03DA20,APRD00948
S01BA06,APRD00513
L01CB02,APRD00649
L01DB03,APRD00361
D06AX02,EXPT00942
J01DC08,APRD01077
A02BD07,APRD00077
S01EA02,APRD00930
N05AD08,APRD00939
H03AA01,EXPT02993
S01AA07,APRD00618
J01AA20,APRD00343
N02AB02,APRD00074
R06AX13,APRD00384
J01DB03,EXPT00946
C02LE01,APRD00020
N06AA02,DB08002
D05BB02,APRD00778
S01LA01,APRD01290
M01AX01,APRD01128
,APRD00314
N03AA30,APRD00757
C05BB04,APRD00575
S01BC05,APRD01060
,APRD00269
J01MA04,APRD00947
P01BC01,APRD00563
M01AC02,APRD00011
A04AD10,APRD00571
R03DC03,APRD00434
N06AB03,APRD00530
,APRD01014
N05CB01,APRD00058
N05BA02,APRD00682
N06AX21,APRD00060
N05AA01,APRD00482
J05AC02,APRD01219
J01GB06,APRD00550
L04AX04,APRD01303
G03XC01,APRD00400
M01AH01,APRD00373
,APRD00712
S01EA05,APRD00034
J01CF01,APRD00916
A04AD11,APRD01127
J01MA03,APRD00108
L01XX03,APRD00652
C07BA07,APRD01230
N05BE01,APRD00222
A10BF02,APRD01117
C09BA09,APRD00526
J01DD01,APRD00854
N04BX02,APRD00416
J05AF01,APRD00449
G04BD10,APRD00903
N02AA05,APRD00387
B01AA02,APRD00166
L02BB01,APRD00984
M02AA21,APRD01268
A02BA51,APRD00568
N05AD01,APRD00538
J05AX66,APRD00312
,APRD00733
A03AB08,APRD00286
P01AX11,APRD00558
N05AA05,APRD00465
C10AX01,APRD00911
C01AA01,APRD01334
J01XA01,EXPT03217
B02AA01,DB04134
N07XX59,APRD00655
L01XA01,APRD00359
,APRD00819
,APRD00800
P02CA03,APRD00782
C09BB10,APRD01269
J02AX04,APRD00199
C07AA15,APRD00195
V04CK03,APRD00818
L01XX22,APRD00017
G01AE10,APRD01109
D01AE18,APRD01607
L01XA03,APRD00186
D04AB02,APRD00915
C09BB02,APRD00193
J05AD01,APRD00669
L01XE03,APRD00951
L01AA01,APRD00408
N03AB54,APRD00512
M01AH02,APRD00151
,APRD00864
J01DD15,APRD00644
,EXPT01546
J01RA10,EXPT00999
V08CA06,APRD00993
L02BA02,APRD00391
N06AA10,APRD00602
L01CA02,APRD00495
C09BA07,APRD00063
N06AA17,APRD00142
L01BC52,EXPT03204
N07AA02,APRD00380
N05BA07,APRD00724
D07AC03,APRD00910
D10AX03,EXPT00598
R03DC01,APRD00377
H03BA02,APRD00297
G04BX03,EXPT01688
L01XX08,APRD00202
D05BA02,APRD00157
M01AC01,APRD01187
N03AX09,APRD00570
,APRD01177
N05BB01,APRD00688
J05AH01,APRD00378
C02KX01,APRD00829
J01AA12,APRD01307
R07AB01,APRD00935
G01AE10,APRD00728
L01BA01,APRD00353
N03AF01,APRD00337
M03AC11,APRD00874
,APRD01236
J01DB01,APRD00250
N07CA02,APRD00332
B01AX05,DB11728
L01CA01,APRD00708
C07FA05,APRD00194
A03CB03,EXPT02427
M01AE04,APRD00970
A08AA02,APRD00319
C02AC01,DB07566
G01AE10,APRD00684
J05AB11,APRD00697
J01CA03,APRD00846
A08AA05,APRD01085
M01AH03,DB07576
A06AD11,APRD01063
J02AC03,APRD00543
A16AA01,APRD01070
C09BA02,APRD00510
A02BA04,APRD00706
S01CC01,APRD00527
,APRD00637
,APRD00065
N02CA07,APRD00636
C02CA04,APRD00474
C05AA10,APRD00977
P02CB01,DB11514
N03AD01,APRD00318
C03DB01,EXPT00514
G01AA07,APRD00019
D07AC21,APRD01010
V08CA04,APRD00992
C07AG01,APRD01062
N05CB01,APRD00660
D11AX13,APRD01121
J01XX08,DB08769
D11AX22,APRD01058
L02AB02,APRD00627
A03FA02,APRD00454
M01AB02,APRD01243
G01AE10,EXPT01082
J01CF06,DB08269
P01BA01,APRD00468
J04AD03,APRD00961
C01CA09,APRD00555
N02AF01,APRD00835
C07AB07,APRD00257
P01BA06,APRD00796
G01AX06,APRD00988
J04AB04,APRD00094
,APRD00027
N03AC01,APRD00236
