drugbank-id,name
APRD01025,approved
APRD00392,investigational
APRD00127,approved
DB07727,withdrawn
APRD01174,vet_approved
APRD00066,investigational
APRD00844,approved
APRD00376,investigational
APRD00252,approved
DB07998,investigational
DB09471,illicit
APRD00325,approved
DB05743,investigational
APRD00227,approved
APRD00692,approved
APRD00445,withdrawn
APRD00980,investigational
APRD01143,investigational
APRD00841,approved
APRD01021,illicit
APRD00109,investigational
APRD00957,approved
APRD01099,approved
APRD00537,approved
APRD00485,approved
APRD00138,investigational
APRD00172,approved
APRD00050,vet_approved
APRD01182,investigational
APRD00446,vet_approved
APRD01206,investigational
APRD01101,approved
APRD00630,approved
APRD00606,withdrawn
APRD00473,investigational
APRD00441,approved
APRD00792,investigational
APRD00490,investigational
APRD00315,approved
APRD01141,investigational
APRD00307,illicit
DB08225,investigational
APRD01092,vet_approved
APRD00290,approved
APRD00739,approved
APRD00723,approved
EXPT00605,approved
APRD00308,approved
APRD00592,investigational
APRD00300,investigational
APRD00190,vet_approved
DB02692,investigational
APRD00101,investigational
APRD01301,investigational
APRD00470,approved
APRD01238,approved
APRD01003,withdrawn
APRD00937,vet_approved
APRD00106,investigational
APRD01299,approved
APRD00148,approved
APRD00685,approved
APRD01095,illicit
APRD00323,withdrawn
DB08625,approved
APRD01272,investigational
APRD00884,approved
APRD00070,approved
APRD00351,investigational
APRD00941,withdrawn
APRD00242,investigational
DB02444,withdrawn
APRD00520,approved
APRD00690,withdrawn
APRD00399,approved
APRD00079,approved
APRD00662,approved
APRD00383,approved
APRD00365,approved
APRD00503,investigational
APRD00098,approved
APRD00032,investigational
APRD00729,approved
APRD00612,investigational
DB11897,investigational
APRD00417,approved
APRD00700,vet_approved
DB09441,withdrawn
DB07438,investigational
DB06286,approved
APRD01004,vet_approved
APRD00635,approved
APRD00431,investigational
APRD00861,approved
DB05925,investigational
APRD00770,approved
APRD00998,approved
APRD00803,withdrawn
APRD00574,approved
APRD00316,withdrawn
APRD00162,vet_approved
DB02487,approved
APRD00403,investigational
APRD00156,investigational
APRD00773,withdrawn
APRD00320,vet_approved
APRD01318,withdrawn
DB08415,vet_approved
APRD00497,vet_approved
APRD01118,approved
APRD00358,vet_approved
APRD01234,approved
APRD00657,investigational
APRD01102,vet_approved
APRD00607,approved
APRD00095,approved
APRD00600,investigational
APRD00306,approved
APRD00209,investigational
APRD00847,approved
